NC1	NC2	NC3	NC4	PDR1	PDR2	PDR3	PDR4
P41222	20.263503039763	21.0294490033761	20.5783763771164	20.9679664004823	19.4471599254764	19.4662876039213	19.3807020240109	19.6468996843104
P43652	18.763575485141	18.2673262061796	17.910876915202	18.0738905083482	18.717495700058	18.8485495911352	18.6627170467416	18.5295525631141
P51693	15.8965452727695	16.6033800412694	16.4133138918491	15.6405838755029	15.203577420972	15.2090725364841	15.4736423386337	14.5246641381375
P51884	17.8690636267182	17.2524806492235	17.047507375307	17.3258851434681	16.8846475219367	17.5574936178238	17.0606537173808	18.0836351399545
P55058	14.7501835689421	14.5332688886207	14.2292694622667	14.7068736939842	14.8177331660952	14.4868350215631	14.7388311559444	14.8951492268455
P61916	14.2568720813283	15.8906917774068	15.787545513471	16.792459876049	14.604900657146	14.1919845133603	13.3776172479708	13.911017407797
P63261	14.7493980867858	14.6447575925163	14.8984596804341	15.6446731099302	14.8377757427142	15.3876807967043	15.3622863183248	14.7034169710315
P98160	13.9141047885251	14.0191563255842	14.0718813000515	15.4463725548959	14.495230456532	13.9781741744682	14.6537407787066	15.1448573643373
Q06481	18.4878164868586	19.2120023310677	18.5623095122743	18.983038123631	16.5693067815376	17.1123784157591	15.3714363459425	16.8702683825635
Q12805	17.1702576157623	17.8037275265531	17.1809775012429	17.7137087009005	16.9688242644113	16.8464698099232	16.5923548349628	16.5972814994509
Q12860	14.8900267220584	15.6441661104963	14.4649285803855	14.8406304213329	13.7122045504387	13.967136177662	13.7978641373337	13.1909512243343
Q13449	14.0146307658542	15.1693378478626	15.2015113445001	14.9219803660688	14.7472489176472	14.4285564621952	14.3686428672224	14.1972166931101
Q13822	18.0899055964913	18.7136751432196	17.8813649379474	18.043080699928	17.3948143488595	17.6578766600897	16.9744369972955	17.2666401559308
Q14515	16.9754449743088	17.3236001727747	16.7629269954277	17.1594574799498	15.9927392262636	15.9465636485159	16.2651571730616	15.3114645154484
Q14520	14.7389894416477	14.5355183977687	14.7839701858299	14.708545071351	15.02228111	14.5729370250173	14.7848904024003	14.850040294277
Q14624	19.6342970268575	18.4804588934208	18.7011372169716	18.4541064758029	19.5220795716753	18.8766068723927	19.0006932674515	19.382370722204
Q16270	14.527965641134	15.0160682989638	15.3431163000443	15.6913345958664	14.8019609094713	14.5014018233019	15.0863850585073	14.0491678723722
Q86UD1	14.9799163711653	15.6912527972947	14.9948395573226	16.5620635074923	14.149985220736	14.7621743819931	15.3670734223028	14.2463694872266
Q92765	16.4652794187139	17.3398673963832	17.0171563863831	17.6098568624642	15.4751951060072	16.1178256991852	16.2317836860954	15.0029907718406
Q92823	15.4182479363056	16.241424607814	16.0112709410216	15.8299704293164	14.9074070931633	13.1353405502535	14.37646458356	14.4075333316713
Q96IY4	14.577546844727	14.8523344319864	14.2150779148228	14.9788444991233	15.1083202565484	14.8872206154684	14.7799245019679	15.3987436919382
Q96PD5	16.6928878881847	16.4518067446232	16.1112987142583	16.7621484228017	16.45365646732	16.7088683402117	16.6197041577815	16.8844090402367
Q99574	15.9161827086746	16.264515906039	15.9592548615347	16.7813597135247	14.8808748941027	14.4267888945956	14.0378043099981	13.6637804506831
Q9HCB6	16.8258780264906	17.4590793551657	16.8544057820061	17.3750903538895	15.6484418491188	15.7364547840665	15.668441828053	15.261764385718
