dataset	sample	protein	intensities	group	ocular.region	labeling	instrument
195	Data7	NC1	O75711	-0.569955952839235	NC	vitreous	Yes	Orbitrap Fusion
196	Data7	NC1	O75752	0.306083715537463	NC	vitreous	Yes	Orbitrap Fusion
197	Data7	NC1	O75787	0.394688227034901	NC	vitreous	Yes	Orbitrap Fusion
198	Data7	NC1	O75829	-0.647218283782805	NC	vitreous	Yes	Orbitrap Fusion
199	Data7	NC1	O75874	-1.2564694631592	NC	vitreous	Yes	Orbitrap Fusion
200	Data7	NC1	O75882-2	1.05887008805972	NC	vitreous	Yes	Orbitrap Fusion
201	Data7	NC1	O76061	0.176184962657785	NC	vitreous	Yes	Orbitrap Fusion
202	Data7	NC1	O94856	0.631745912757903	NC	vitreous	Yes	Orbitrap Fusion
203	Data7	NC1	O94910	-2.44968271790584	NC	vitreous	Yes	Orbitrap Fusion
204	Data7	NC1	O94919	-1.90403475886306	NC	vitreous	Yes	Orbitrap Fusion
205	Data7	NC1	O94985	2.13848941552216	NC	vitreous	Yes	Orbitrap Fusion
206	Data7	NC1	O94985-2	0.794519878828426	NC	vitreous	Yes	Orbitrap Fusion
207	Data7	NC1	O95390	-0.439537036926096	NC	vitreous	Yes	Orbitrap Fusion
208	Data7	NC1	O95428	0.594874384798976	NC	vitreous	Yes	Orbitrap Fusion
209	Data7	NC1	O95445	0.413923109064959	NC	vitreous	Yes	Orbitrap Fusion
210	Data7	NC1	O95502	-0.641310906465429	NC	vitreous	Yes	Orbitrap Fusion
211	Data7	NC1	O95841	-0.118536957435885	NC	vitreous	Yes	Orbitrap Fusion
212	Data7	NC1	O95897	0.346072241489837	NC	vitreous	Yes	Orbitrap Fusion
213	Data7	NC1	O95967	0.423579066478905	NC	vitreous	Yes	Orbitrap Fusion
214	Data7	NC1	O95980	-0.72401363970112	NC	vitreous	Yes	Orbitrap Fusion
215	Data7	NC1	P00338-3	0.34356805554235	NC	vitreous	Yes	Orbitrap Fusion
216	Data7	NC1	P00441	0.62399850424379	NC	vitreous	Yes	Orbitrap Fusion
217	Data7	NC1	P00450	2.27945307776587	NC	vitreous	Yes	Orbitrap Fusion
218	Data7	NC1	P00492	-1.90995279751424	NC	vitreous	Yes	Orbitrap Fusion
219	Data7	NC1	P00558	0.277809369851887	NC	vitreous	Yes	Orbitrap Fusion
220	Data7	NC1	P00734	1.46362322592782	NC	vitreous	Yes	Orbitrap Fusion
221	Data7	NC1	P00738	1.63760230031894	NC	vitreous	Yes	Orbitrap Fusion
222	Data7	NC1	P00739-2	-0.135048512235157	NC	vitreous	Yes	Orbitrap Fusion
223	Data7	NC1	P00740	0.41947734738116	NC	vitreous	Yes	Orbitrap Fusion
224	Data7	NC1	P00742	0.3825837511333	NC	vitreous	Yes	Orbitrap Fusion
225	Data7	NC1	P00747	1.8165220590761	NC	vitreous	Yes	Orbitrap Fusion
226	Data7	NC1	P00748	0.826235525053386	NC	vitreous	Yes	Orbitrap Fusion
227	Data7	NC1	P00915	0.392509568864914	NC	vitreous	Yes	Orbitrap Fusion
228	Data7	NC1	P00918	0.00511913782861881	NC	vitreous	Yes	Orbitrap Fusion
229	Data7	NC1	P01008	1.6856336184461	NC	vitreous	Yes	Orbitrap Fusion
230	Data7	NC1	P01009	2.37877740263453	NC	vitreous	Yes	Orbitrap Fusion
231	Data7	NC1	P01011	1.75504383229355	NC	vitreous	Yes	Orbitrap Fusion
232	Data7	NC1	P01019	1.38189131164449	NC	vitreous	Yes	Orbitrap Fusion
233	Data7	NC1	P01023	2.56672920359455	NC	vitreous	Yes	Orbitrap Fusion
234	Data7	NC1	P01024	2.56071677822271	NC	vitreous	Yes	Orbitrap Fusion
235	Data7	NC1	P01031	1.5645350857261	NC	vitreous	Yes	Orbitrap Fusion
236	Data7	NC1	P01033	0.603261658283801	NC	vitreous	Yes	Orbitrap Fusion
237	Data7	NC1	P01034	1.6070257872656	NC	vitreous	Yes	Orbitrap Fusion
238	Data7	NC1	P01042	-0.0149760797429121	NC	vitreous	Yes	Orbitrap Fusion
239	Data7	NC1	P01042-2	1.8827879691989	NC	vitreous	Yes	Orbitrap Fusion
240	Data7	NC1	P01344-3	-0.392486798639866	NC	vitreous	Yes	Orbitrap Fusion
241	Data7	NC1	P01591	-0.119972063830602	NC	vitreous	Yes	Orbitrap Fusion
242	Data7	NC1	P01593	0.466190056076788	NC	vitreous	Yes	Orbitrap Fusion
243	Data7	NC1	P01596	0.228991760919457	NC	vitreous	Yes	Orbitrap Fusion
244	Data7	NC1	P01597	-0.272376976779284	NC	vitreous	Yes	Orbitrap Fusion
245	Data7	NC1	P01601	-2.37987981591251	NC	vitreous	Yes	Orbitrap Fusion
246	Data7	NC1	P01602	0.351889030851389	NC	vitreous	Yes	Orbitrap Fusion
247	Data7	NC1	P01603	-1.86203904581873	NC	vitreous	Yes	Orbitrap Fusion
248	Data7	NC1	P01604	-0.371558538050493	NC	vitreous	Yes	Orbitrap Fusion
249	Data7	NC1	P01605	-1.03503770969267	NC	vitreous	Yes	Orbitrap Fusion
250	Data7	NC1	P01608	0.0556376960110623	NC	vitreous	Yes	Orbitrap Fusion
251	Data7	NC1	P01609	-0.456227054226807	NC	vitreous	Yes	Orbitrap Fusion
252	Data7	NC1	P01611	-0.012550198490941	NC	vitreous	Yes	Orbitrap Fusion
253	Data7	NC1	P01612	-0.661989561663031	NC	vitreous	Yes	Orbitrap Fusion
254	Data7	NC1	P01613	-0.108675536815864	NC	vitreous	Yes	Orbitrap Fusion
255	Data7	NC1	P01614	-0.251837284931786	NC	vitreous	Yes	Orbitrap Fusion
256	Data7	NC1	P01615	-0.166931948201807	NC	vitreous	Yes	Orbitrap Fusion
257	Data7	NC1	P01617	-0.547852417419034	NC	vitreous	Yes	Orbitrap Fusion
258	Data7	NC1	P01619	-0.244421596296874	NC	vitreous	Yes	Orbitrap Fusion
259	Data7	NC1	P01620	-0.776506046499641	NC	vitreous	Yes	Orbitrap Fusion
260	Data7	NC1	P01621	-0.301399690200483	NC	vitreous	Yes	Orbitrap Fusion
261	Data7	NC1	P01622	-0.788284156773263	NC	vitreous	Yes	Orbitrap Fusion
262	Data7	NC1	P01623	1.33455585312662	NC	vitreous	Yes	Orbitrap Fusion
263	Data7	NC1	P01625	0.678712950005703	NC	vitreous	Yes	Orbitrap Fusion
264	Data7	NC1	P01700	0.298085841438446	NC	vitreous	Yes	Orbitrap Fusion
265	Data7	NC1	P01701	0.180779653478651	NC	vitreous	Yes	Orbitrap Fusion
266	Data7	NC1	P01703	0.534858440362762	NC	vitreous	Yes	Orbitrap Fusion
267	Data7	NC1	P01708	0.0844302292471985	NC	vitreous	Yes	Orbitrap Fusion
268	Data7	NC1	P01710	-1.47811785642108	NC	vitreous	Yes	Orbitrap Fusion
269	Data7	NC1	P01714	0.436514874608074	NC	vitreous	Yes	Orbitrap Fusion
270	Data7	NC1	P01717	-0.363803520258317	NC	vitreous	Yes	Orbitrap Fusion
271	Data7	NC1	P01719	-1.6035254806948	NC	vitreous	Yes	Orbitrap Fusion
